时间,车型,车名,厂商指导价格范围,月降价幅度,全国月关注,评分,全国月销量,质保,环保标准,油耗,燃油标号
2024年4月,微型车,宝骏KiWi EV,7.78-11.38万,2.40万,,4.64分,1081,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,元宝,2.97-5.19万,1.91万,,,600,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,宏光MINIEV,3.28-9.99万,1.70万,,4.68分,25015,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,五菱Air ev晴空,5.78-6.98万,1.70万,,,213,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,长安Lumin,4.99-6.99万,1.43万,,,12480,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,花仙子,5.99-7.49万,1.37万,,4.53分,2,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,奔奔E-Star,7.99万,1.33万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,五菱NanoEV,5.68-6.68万,1.30万,,,213,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,熊猫,2.99-5.39万,1.00万,,,12538,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,风光MINIEV,3.26-5.91万,0.95万,,,595,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,奇瑞无界Pro,8.49-11.09万,0.95万,30460,,13,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,零跑T03,4.99-8.99万,0.95万,,4.71分,7024,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,科莱威CLEVER,6.80万,0.81万,,4.74分,612,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,家宝,3.98-5.69万,0.76万,,,20,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,QQ冰淇淋,2.99-5.75万,0.47万,,,7462,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,微型车,五菱微旅车,8.88-9.68万,0.20万,,,0,质保：暂无数据,环保标准：国VI,5,2
2024年4月,小型车,MINI CLUBMAN,27.83-34.96万,4.83万,30957,4.64分,0,质保：三年或10万公里，两年不限公里,环保标准：国VI，欧V，欧IV,4,10
2024年4月,小型车,MINI,19.98-37.88万,4.63万,77042,4.46分,0,质保：两年不限公里，三年或10万公里,环保标准：欧IV，国VI，欧V，国V,5,10
2024年4月,小型车,Polo,9.09-12.49万,2.90万,821283,4.49分,2918,质保：三年或10万公里，两年或6万公里，2年或6万公里,环保标准：国VI，国V，国IV+OBD，国IV(国V)，欧III，国IV,4,6
2024年4月,小型车,LIFE,9.78-11.28万,2.80万,,4.51分,270,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,小型车,欧拉好猫,10.58-16.58万,2.20万,,4.84分,6621,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型车,欧拉好猫GT,11.98-15.38万,2.20万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型车,悦纳,7.28-9.68万,2.10万,203479,4.25分,1,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型车,YARiS L 致享,8.78-9.38万,2.00万,168599,4.73分,0,质保：三年或10万公里，3年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型车,威驰FS,8.58-9.28万,2.00万,114983,4.78分,3,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型车,威驰,7.38-9.48万,2.00万,302441,4.59分,1,质保：两年或5万公里，三年或10万公里，2年或5万公里,环保标准：欧IV，欧III，国V，国IV(国V)，国VI,4,2
2024年4月,小型车,YARiS L 致炫,8.58-10.38万,2.00万,210292,4.69分,1,质保：三年或10万公里,环保标准：国VI，国IV(国V)，国V,4,2
2024年4月,小型车,飞度,8.18-10.88万,1.90万,766848,4.22分,3115,质保：三年或10万公里，2年或6万公里,环保标准：国V，国VI，国IV(国V)，欧IV,4,2
2024年4月,小型车,焕驰,6.69-7.09万,1.20万,1947,3.75分,48,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型车,海鸥,6.98-8.58万,1.14万,,,41012,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型车,五菱缤果,5.98-8.88万,0.98万,,,27458,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型车,海豚,9.98-13.98万,0.95万,,4.77分,26814,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型车,奔驰A级AMG,39.98-41.13万,11.48万,,4.44分,0,质保：三年不限公里,环保标准：国VI,5,8
2024年4月,紧凑型车,奔驰B级,26.98-28.38万,11.01万,65107,4.44分,0,质保：三年不限公里，两年不限公里,环保标准：欧V，国VI，欧IV,4,8
2024年4月,紧凑型车,奔驰A级AMG(进口),39.57-58.37万,10.22万,40706,4.4分,0,质保：三年不限公里,环保标准：国VI，国V，国IV(国V),5,8
2024年4月,紧凑型车,起亚K3新能源,22.98-25.98万,10.00万,,,0,质保：三年或10万公里,环保标准：国VI,2,2
2024年4月,紧凑型车,宝马1系,20.89-24.99万,9.90万,382877,4.36分,18,质保：三年或10万公里,环保标准：国VI，国V,4,8
2024年4月,紧凑型车,奔驰A级,21.48-27.57万,9.70万,,4.31分,2574,质保：三年不限公里,环保标准：国VI,4,8
2024年4月,紧凑型车,奔驰CLA AMG,44.98-63.62万,9.63万,31156,4.23分,0,质保：三年不限公里,环保标准：国VI，欧V,5,8
2024年4月,紧凑型车,宝马2系,27.29-41.98万,9.46万,90270,4.52分,0,质保：三年或10万公里，3年或不限里程,环保标准：欧V，国VI，欧VI,4,8
2024年4月,紧凑型车,奔驰CLA,30.28-39.58万,9.15万,305248,,0,质保：三年不限公里,环保标准：国VI，欧V,4,8
2024年4月,紧凑型车,奔驰A级(进口),26.38-27.38万,8.53万,136807,,0,质保：三年不限公里，两年不限公里,环保标准：欧V，国VI，欧IV,4,8
2024年4月,紧凑型车,雷凌双擎E+,20.38-21.88万,8.33万,,4.76分,0,质保：三年或10万公里,环保标准：国VI,2,2
2024年4月,紧凑型车,畅巡,18.29-19.79万,8.22万,,4.79分,77,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型车,奥迪A3,20.31-25.13万,7.44万,694776,4.35分,6205,质保：三年或10万公里,环保标准：国V，国VI，国IV(国V),4,8
2024年4月,紧凑型车,卡罗拉双擎E+,20.78-23.08万,7.10万,,4.72分,0,质保：三年或10万公里,环保标准：国VI,2,2
2024年4月,紧凑型车,名爵6新能源,14.28-19.98万,6.50万,,4.81分,0,质保：三年或10万公里,环保标准：国VI，国V,2,2
2024年4月,紧凑型车,沃兰多,13.69-15.99万,6.32万,,4.75分,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,紧凑型车,绎乐,16.78-18.98万,6.10万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型车,菲斯塔纯电动,17.38-19.88万,6.00万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型车,吉利几何A,14.38-20.78万,5.90万,,4.75分,1756,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型车,大众ID.3,16.29-19.29万,5.50万,,4.7分,6003,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型车,微蓝6,11.28-16.89万,5.40万,,4.71分,7538,质保：三年或10万公里,环保标准：国VI,2,2
2024年4月,紧凑型车,帝豪新能源,15.98-16.98万,5.40万,,,266,质保：三年或12万公里，一年或15万公里,环保标准：国V,2,2
2024年4月,紧凑型车,比亚迪e3,15.48-15.58万,5.38万,,4.78分,277,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型车,威朗,12.89-15.89万,5.30万,429139,4.51分,5829,质保：三年或10万公里,环保标准：国V，国VI,4,2
2024年4月,紧凑型车,享域,10.98-16.99万,5.00万,,3.92分,0,质保：三年或10万公里,环保标准：国VI，国V,3,2
2024年4月,紧凑型车,凌派,10.98-16.98万,4.90万,500922,4.02分,37,质保：三年或10万公里,环保标准：国VI，国IV(国V)，国V,4,2
2024年4月,紧凑型车,朗逸,8.00-15.19万,4.90万,1288649,4.06分,21117,质保：三年或10万公里，两年或6万公里,环保标准：国V，国IV，国VI，国IV(国V)，国IV+OBD,4,10
2024年4月,紧凑型车,速腾,12.79-17.29万,4.69万,825042,4分,14572,质保：三年或10万公里，两年或6万公里，2年或6万公里，3年或10万公里,环保标准：国IV(国V)，国VI，国IV+OBD，国V，欧IV，欧III,5,10
2024年4月,紧凑型车,型格,12.99-18.69万,4.60万,,4.66分,6642,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,紧凑型车,蓝鸟,12.59-13.39万,4.59万,324668,3.81分,0,质保：三年或10万公里,环保标准：国V，国VI,4,2
2024年4月,紧凑型车,桑塔纳,8.79-11.28万,4.54万,616689,4.14分,0,质保：三年或10万公里,环保标准：国V，国IV(国V)，国VI,4,6
2024年4月,紧凑型车,宝来,9.88-15.70万,4.50万,765006,3.83分,6753,质保：三年或10万公里，两年或6万公里,环保标准：国VI，国IV(国V)，国IV+OBD，国V,4,10
2024年4月,紧凑型车,凌渡,14.39-19.09万,4.35万,970539,4.34分,4772,质保：三年或10万公里,环保标准：国V，国VI,4,8
2024年4月,紧凑型车,思域,12.99-18.79万,4.20万,1526335,3.87分,11837,质保：两年或6万公里，三年或10万公里,环保标准：国IV，国VI，国IV(国V)，国V，欧III,4,6
2024年4月,紧凑型车,亚洲狮,14.18-17.98万,3.90万,,4.74分,141,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型车,东风风神E70,13.27-15.38万,3.90万,,,1124,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型车,广汽丰田iA5,15.98-19.28万,3.90万,,4.78分,0,质保：暂无数据,环保标准：暂无数据,0,-1
