行标签,求和项:指导差价,求和项:月降价幅度（万）,求和项:全国月关注,平均值项:评分,求和项:全国月销量,平均值项:全国月关注2,平均值项:油耗,平均值项:月降价幅度（万）2,平均值项:指导差价2,
MPV,389.97,89.08,2382172,4.6992,0,216561.0909,3.224489796,1.817959184,7.958571429,
豪华车,1437.33,396.97,1962981,4.525714286,0,196298.1,3.941176471,23.35117647,84.54882353,
紧凑型SUV,442.82,437.82,12215131,4.708,0,555233.2273,2.822222222,4.864666667,4.920222222,
紧凑型车,399.41,362.95,13391495,4.507142857,237944,352407.7632,2.844444444,4.032777778,4.437888889,
跑车,605.32,159.83,1540585,4.368333333,0,140053.1818,4.615384615,12.29461538,46.56307692,
全尺寸SUV,423.32,120.49,447794,4.653333333,0,149264.6667,3.111111111,13.38777778,47.03555556,
微型车,37.45,19.23,30460,4.666666667,69522,30460,0.3125,1.201875,2.202941176,
小型SUV,129.24,141.77,6209686,4.616052632,0,443549,2.44,2.8354,2.5848,
小型车,58.53,35.83,2697871,4.516923077,108262,269787.1,2.8125,2.239375,3.658125,
中大型SUV,1639.39,768.17,5197496,4.627804878,0,225978.087,3.544117647,11.29661765,24.10867647,
中大型车,641.06,513.89,5269880,4.554583333,0,219578.3333,3.268292683,12.53390244,15.63560976,
中型SUV,783.33,647.52,11629043,4.607014925,0,375130.4194,3.777777778,7.194666667,8.703666667,
中型车,476.55,409.39,14043227,4.513555556,0,401235.0571,3.508474576,6.938813559,8.077118644,
总计,7463.72,4102.94,77017821,4.585710526,415728,330548.588,3.152960526,6.748256579,12.25569787,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
车型,求和项:指导差价,指导差价均值（万）,求和项:月降价幅度（万）,月降价均值（万）,全国月关注和,平均值项:全国月关注2,评分均值,全国月销量和,月销量均值,油耗均值
MPV,389.97,7.958571429,89.08,1.817959184,5174274,199010.5385,4.6992,364723,1350.825926,3.224489796
豪华车,1437.33,84.54882353,396.97,23.35117647,2208459,169881.4615,4.525714286,282,282,3.941176471
紧凑型SUV,442.82,4.920222222,437.82,4.864666667,17312095,494631.2857,4.708,2103168,4006.034286,2.822222222
紧凑型车,399.41,4.437888889,362.95,4.032777778,14133281,321210.9318,4.507142857,1870728,4562.75122,2.844444444
跑车,605.32,46.56307692,159.83,12.29461538,2074191,98771,4.368333333,1565,111.7857143,4.615384615
全尺寸SUV,423.32,47.03555556,120.49,13.38777778,630210,105035,4.653333333,81303,2803.551724,3.111111111
微型车,37.45,2.202941176,19.23,1.201875,30460,30460,4.666666667,7273,2424.333333,0.3125
小型SUV,129.24,2.5848,141.77,2.8354,7036526,390918.1111,4.616052632,249201,2467.336634,2.44
小型车,58.53,3.658125,35.83,2.239375,3053030,277548.1818,4.516923077,253716,1307.814433,2.8125
中大型SUV,1639.39,24.10867647,768.17,11.29661765,6077192,209558.3448,4.627804878,336709,6012.660714,3.544117647
中大型车,641.06,15.63560976,513.89,12.53390244,5449135,217965.4,4.554583333,482433,1820.501887,3.268292683
中型SUV,783.33,8.703666667,647.52,7.194666667,13046852,372767.2,4.607014925,413262,2755.08,3.777777778
中型车,476.55,8.077118644,409.39,6.938813559,15096439,387088.1795,4.513555556,1301944,2945.574661,3.508474576
